Bug ID,Title,Module,Severity,Priority,Steps Summary,Expected Result,Actual Result,Reproducibility,Status
BUG-001,Brand mismatch product ID 15,Product Data,Medium,P3,Compare brand on card vs detail page,Consistent brand,Brand mismatch,Always,Open
BUG-002,Category mismatch product ID 22,Product Data,Medium,P3,Filter by category and check ID 22,Correct category,Mismatched category,Always,Open
BUG-003,Cart subtotal error for ID 7,Cart,High,P2,Add ID 7 qty 3 and check subtotal,price × 3,price × 2,Always,Open
BUG-004,Badge count lag on remove,Cart,Medium,P3,Remove item and check badge,Badge decreases,Badge unchanged until refresh,Always,Open
BUG-005,Search no trim leading spaces,Search,Low,P4,Search with leading spaces,Trimmed results,No/wrong results,Always,Open
BUG-006,Brand search excludes ID>35,Search,Medium,P3,Search brand for ID>35 product,Product appears,Product excluded,Always,Open
BUG-007,Sort reversed for Components,Sorting,Medium,P3,Sort Components by price asc,Ascending order,Descending order,Always,Open
BUG-008,Clear Filters keeps URL params,Filters,Low,P4,Clear filters and check URL,URL cleared,Params remain,Always,Open
BUG-009,Checkout accepts empty postcode,Checkout,Medium,P3,Submit without postcode,Validation error,Order submitted,Always,Open
BUG-010,Wishlist allows duplicates,Wishlist,Low,P4,Add same product twice,Single entry,Duplicate entry,Always,Open
BUG-011,Wishlist truncates to 8 on refresh,Wishlist,Medium,P3,Add 10+ items and refresh,All preserved,Only 8 remain,Always,Open
BUG-012,Checkout accepts 4-digit card,Checkout,High,P2,Enter 4-digit card number,Validation error,Order accepted,Always,Open
BUG-013,False sale badges on low stock,Catalog,Low,P4,Check low-stock non-sale products,No sale badge,Sale badge shown,Intermittent,Open
BUG-014,Negative discount on ID 5,Pricing,Medium,P3,Check discount on product ID 5,Positive or none,Negative discount shown,Always,Open
BUG-015,RAM spec mismatch on ID 2,Product Data,Medium,P3,Compare specs table vs description,Consistent RAM,Different values,Always,Open
BUG-016,Empty cart CTA goes to homepage,Cart,Low,P4,Click CTA on empty cart,Goes to /products,Goes to /,Always,Open
BUG-017,Weak password accepted,Auth,High,P2,Register with 1-char password,Validation error,Registration succeeds,Always,Open
