Story ID,Title,As a...,I want to...,So that...,Priority,Module
US-001,Browse catalog,User,View all products on the catalog page,I can browse available items,High,Catalog
US-002,View product details,User,Click on a product to see full details,I can make an informed purchase decision,High,Product Details
US-003,See product info on card,User,See price/rating/availability on product cards,I can quickly compare products,High,Catalog
US-004,See sale badges,User,See discount badges on sale products,I know which items are discounted,Medium,Catalog
US-005,Search by name,User,Search products by name,I can find specific items quickly,High,Search
US-006,Search across fields,User,Search across name/brand/category,I get comprehensive search results,High,Search
US-007,Empty search state,User,See a message when search returns nothing,I know no results matched,Medium,Search
US-008,Filter by category,User,Filter products by category,I can narrow the catalog,High,Filters
US-009,Filter by brand,User,Filter products by brand,I can find preferred brands,Medium,Filters
US-010,Filter by price,User,Filter by price range,I can find products in my budget,Medium,Filters
US-011,Filter by availability,User,Filter by in-stock status,I only see available products,Medium,Filters
US-012,Clear filters,User,Clear all filters,I can see the full catalog again,High,Filters
US-013,Sort by price,User,Sort products by price,I can find cheapest/most expensive,High,Sorting
US-014,Sort by name,User,Sort alphabetically,I can find products by name order,Medium,Sorting
US-015,Sort by rating,User,Sort by rating,I can see highest-rated products first,Medium,Sorting
US-016,Add to cart,User,Add a product to cart,I can purchase it later,High,Cart
US-017,View cart,User,View cart with items and prices,I can review before checkout,High,Cart
US-018,Change cart quantity,User,Change item quantity in cart,I can adjust my order,High,Cart
US-019,Remove from cart,User,Remove items from cart,I can discard unwanted items,High,Cart
US-020,Cart persistence,User,Have cart persist on refresh,I don't lose my selections,High,Cart
US-021,Cart badge,User,See item count badge in header,I know how many items are in cart,Medium,Cart
US-022,Add to wishlist,User,Add products to wishlist,I can save items for later,Medium,Wishlist
US-023,View wishlist,User,View my wishlist page,I can see all saved items,Medium,Wishlist
US-024,Remove from wishlist,User,Remove items from wishlist,I can manage saved items,Medium,Wishlist
US-025,Wishlist persistence,User,Have wishlist persist on refresh,I don't lose saved items,Medium,Wishlist
US-026,Login,User,Log in with credentials,I can access my account,High,Auth
US-027,Register,User,Register a new account,I can create an account,Medium,Auth
US-028,Logout,User,Log out of my account,I can end my session,Medium,Auth
US-029,Go to checkout,User,Proceed to checkout from cart,I can complete my purchase,High,Checkout
US-030,Fill checkout form,User,Enter delivery and payment details,I can place my order,High,Checkout
US-031,Field validation,User,Have required fields validated,I don't submit incomplete orders,High,Checkout
US-032,Order summary,User,See order summary during checkout,I can verify my order,High,Checkout
US-033,Order confirmation,User,See confirmation after placing order,I know my order was placed,High,Checkout
US-034,Free shipping,User,Get free shipping over £50,I save on shipping costs,Medium,Checkout
US-035,Mobile responsive,User,Use the site on mobile,I can shop on any device,High,UI/UX
US-036,Header navigation,User,Navigate via header menu,I can access all sections,High,Navigation
US-037,Footer links,User,Access static pages from footer,I can find company information,Low,Navigation
